Latitude,Longitude,OBJECTID,DOO_ID,REF_ID_EN,REF_ID_FR,BIKE_PARKING,BUILDING_DESC_EN_1,BUILDING_DESC_EN_2,BUILDING_DESC_EN_3,BUILDING_DESC_EN_4,BUILDING_DESC_FR_1,BUILDING_DESC_FR_2,BUILDING_DESC_FR_3,BUILDING_DESC_FR_4,BUILDING_FEATURES_EN,BUILDING_FEATURES_FR,BUILDING_NAME_EN,BUILDING_NAME_FR,BUILDING_URL_EN,BUILDING_URL_FR,CATEGORY_EN,CATEGORY_FR,FULL_ADDRESS_EN,FULL_ADDRESS_FR,CITY,IMAGE,MAIN_URL_EN,MAIN_URL_FR,NEW,NR,FAMILY_FRIENDLY,DISABLED_ACCESS,FREE_PARKING_NEARBY,METERED_PAID_PARKING_NEARBY,OCTRANSPO_NEARBY,PARTICIPANT,PUBLIC_WASHROOM,SHUTTLE,SAT_CLOSING_TIME,SAT_START_TIME,SUN_CLOSING_TIME,SUN_START_TIME,NOTES,GLOBALID,GUIDEDTOURS,CANADA150
-75.672727195128417,45.389707339560239,272,0,13,86,yes / oui,"Braddish Billings, the first permanent settler of Gloucester Township, built Ottawa’s oldest wood-frame house (then named Park Hill) from 1827-1829. See its architectural features as you tour the home from basement to attic and learn about the evolution ",of the property. Explore various aspects of the history of water in Ottawa from the Champlain Sea to 19th century mineral spring spas and beyond with a new special exhibition. ,,,"Braddish Billings, le premier colon à s’établir de façon permanente dans le canton de Gloucester, a construit la plus vieille maison à ossature de bois d’Ottawa, la maison Billings (alors appelée Park Hill), de 1827 à 1829. Découvrez-en les détails archi","tecturaux pendant que vous en faites la visite du sous-sol au grenier, et apprenez-en davantage sur l’évolution de cette propriété. Explorez différents volets de l’histoire de l’eau à Ottawa, de la mer de Champlain aux sources minérales du XIXe siècle, e","t bien plus encore, grâce à une nouvelle exposition spéciale. ",,,,Billings Estate National Historic Site,Lieu historique national du domaine Billings,https://ottawa.ca/museums,https://ottawa.ca/museums,"9 - Museums, Archives and Historic Sites",,2100 Cabot St.,"2100, rue Cabot", ,/include/doors/Billings Estate Museum.jpg,https://ottawa.ca/en/residents/arts-heritage-and-culture/museums-and-historic-sites/doors-open-ottawa,https://ottawa.ca/fr/residents/arts-culture-et-patrimoine/musees-et-lieux-historiques/portes-ouvertes-ottawa,no / non,,yes / oui,no / non,yes / oui,no / non,yes / oui,Y,yes / oui,no / non,2019-06-01T17:00:00.000Z,2019-06-01T14:00:00.000Z,2019-06-02T20:00:00.000Z,2019-06-02T14:00:00.000Z,,{CB7DB745-18BE-44E7-BDE4-DC7B44944B31},yes / oui,yes/oui
-76.037710171698549,45.346607966592366,273,0,23,77,yes / oui,"The red painted frame building with white trim remains a focal point in the Carp area to this day. One of the few remaining octagonal fairground buildings once so popular in Ontario, it continues to function as the main hall for the Carp Fair, and the po",pular Carp Farmers’ Market. ,,,"Le bâtiment aux pans de bois rouges et aux moulures blanches demeure à ce jour un des principaux points d’intérêt de la région de Carp. L’un des derniers halls d’exposition octogonaux autrefois si répandus en Ontario, il sert encore de hall principal pou",r la Foire de Carp et son populaire marché de producteurs. ,,,,,Carp Exhibit Hall ,Hall d'exposition de Carp,http://www.carpfarmersmarket.com,http://www.carpfarmersmarket.com,8 - Business and/or Foundations,,3790 Carp Rd.,"3790, chemin Carp", ,/include/doors/Carp Exhibit Hall.JPG,https://ottawa.ca/en/residents/arts-heritage-and-culture/museums-and-historic-sites/doors-open-ottawa,https://ottawa.ca/fr/residents/arts-culture-et-patrimoine/musees-et-lieux-historiques/portes-ouvertes-ottawa,no / non,,yes / oui,yes / oui,yes / oui,no / non,no / non,Y,yes / oui,no / non,2019-06-01T17:00:00.000Z,2019-06-01T12:00:00.000Z,,,,{8F28830E-ABE6-4D92-BD30-CD1075AA2D17},no / non,
-75.708093295637369,45.417799210710051,274,0,25,22,yes / oui,"The original parish of Christ Church Bytown was established in 1832 on unceded Algonquin territory. In 1870, architect King Arnoldi was commissioned to build a bigger church in the English Gothic style to harmonize with the new Parliament buildings. Name","d the Cathedral of the Diocese in 1897, it continues to nurture faith in creative and traditional ways, and is often used for ecumenical, interfaith and state events. ",,,"La paroisse originelle Christ Church a été établie en 1832 dans Bytown, sur un territoire algonquin non cédé. En 1870, l’architecte King Arnoldi a été chargé de construire une église gothique, plus grande, pour faire pendant aux nouveaux édifices du Parl","ement. Devenue cathédrale du diocèse en 1897, Christ Church continue d’entretenir la foi de manière novatrice et traditionnelle, et accueille nombre d’activités œcuméniques, interconfessionnelles et nationales. ",,,,,Christ Church Cathedral Ottawa,Cathédrale Christ Church d'Ottawa,http://www.ottawa.anglican.ca/cathedral,http://www.ottawa.anglican.ca/cathedral,0 - Religious buildings,,414 Sparks St.,"414, rue Sparks", ,/include/doors/Christ Church Cathedral.jpg,https://ottawa.ca/en/residents/arts-heritage-and-culture/museums-and-historic-sites/doors-open-ottawa,https://ottawa.ca/fr/residents/arts-culture-et-patrimoine/musees-et-lieux-historiques/portes-ouvertes-ottawa,no / non,,yes / oui,yes / oui,yes / oui,no / non,yes / oui,Y,yes / oui,yes / oui,2019-06-01T20:00:00.000Z,2019-06-01T14:00:00.000Z,2019-06-02T20:00:00.000Z,2019-06-02T14:00:00.000Z,,{4E488305-0219-4EB6-97B8-62F3DCCA2113},yes / oui,
-75.71739683531959,45.132821890235192,275,0,28,7,yes / oui,"Rideau Archives is in the former Township Hall of North Gower, built in 1876; a one-storey, brick-faced example of a modest hall with fine proportions, careful detailing and a cupola. The archival collection highlights material from the southern rural pa",rt of Ottawa. The current exhibit features the history of the main street of North Gower as a part of a forthcoming history of the village.  ,,,"La succursale Rideau des Archives de la Ville d’Ottawa se situe dans l’hôtel de ville de l’ancien canton de North Gower. Construit en 1876, cet édifice à un étage, à façade en briques, aux détails soignés et orné d’une coupole constitue un exemple d’hôte",l de ville modeste et bien proportionné. La collection des Archives met en valeur du matériel provenant de la zone rurale au sud de la Ville. L’exposition en cours porte sur l’histoire de la rue principale de North Gower dans le cadre de l’histoire du vi,llage à venir. ,,,,"City of Ottawa Archives, Rideau Branch ","Archives de la Ville d'Ottawa, succursale Rideau ",http://ottawa.ca/en/residents/arts-culture-and-community/museums-and-heritage/archives,http://ottawa.ca/en/residents/arts-culture-and-community/museums-and-heritage/archives,"9 - Museums, Archives and Historic Sites",,"6581 Fourth Line Rd., North Gower","6581, chemin Fourth Line, North Gower", ,/include/doors/Rideau Archives.jpg,https://ottawa.ca/en/residents/arts-heritage-and-culture/museums-and-historic-sites/doors-open-ottawa,https://ottawa.ca/fr/residents/arts-culture-et-patrimoine/musees-et-lieux-historiques/portes-ouvertes-ottawa,no / non,,yes / oui,yes / oui,yes / oui,no / non,no / non,Y,yes / oui,no / non,2019-06-01T20:00:00.000Z,2019-06-01T14:00:00.000Z,2019-06-02T20:00:00.000Z,2019-06-02T14:00:00.000Z,,{B048D9BF-EF0C-4163-BA41-61F44EC56D63},no / non,yes/oui
-76.047695035014755,45.351631013333986,276,0,34,47,no / non,"The Diefenbunker: Canada’s Cold War Museum is a four-storey Cold War bunker built to protect the government from a nuclear attack on Ottawa. Once top-secret, this underground facility is now open year-round. Free 30-minute highlight tours in French and E",nglish by reservation only. Please visit www.diefenbunker.ca in early May to reserve your space. ,,,"Le Musée canadien de la Guerre froide est un abri fortifié de quatre étages construit pendant la Guerre froide pour protéger le gouvernement en cas d’attaque nucléaire sur Ottawa. Autrefois un secret bien gardé, cette installation souterraine est mainten","ant ouverte tout au long de l’année. Des visites guidées gratuites de 30 minutes en français et en anglais sont offertes sur réservation seulement. Pour réserver, rendez-vous sur www.diefenbunber.ca au début de mai. ",,,,,Diefenbunker: Canada's Cold War Museum,Diefenbunker : Musée canadien de la Guerre froide,http://diefenbunker.ca/en/,http://diefenbunker.ca/en/,"9 - Museums, Archives and Historic Sites",,3929 Carp Rd.,"3929, chemin Carp", ,/include/doors/diefenbunker_war_cabinet.jpg,https://ottawa.ca/en/residents/arts-heritage-and-culture/museums-and-historic-sites/doors-open-ottawa,https://ottawa.ca/fr/residents/arts-culture-et-patrimoine/musees-et-lieux-historiques/portes-ouvertes-ottawa,no / non,,yes / oui,yes / oui,yes / oui,no / non,no / non,Y,yes / oui,no / non,2019-06-01T20:00:00.000Z,2019-06-01T14:00:00.000Z,2019-06-02T20:00:00.000Z,2019-06-02T14:00:00.000Z,,{F96CBE31-4814-4350-BD66-F7C1C70D2925},yes / oui,yes/oui
-75.679413892980648,45.42946779081359,277,0,41,4,no / non,"Known as Toller House, it was built in the Domestic Gothic Revival style by Henry Horsey and J. Sheard, architects in 1875. The building was home to many dignitaries including Frederic Toller, Auditor General of the Dominion’s Currency in the 1880s. In 1","999, it opened as the Embassy of Croatia after an award-winning restoration. Guided tours on ground level only. ",,,"Connu sous le nom de maison Toller, ce bâtiment résidentiel néogothique a été conçu en 1875 par les architectes Henry Horsey et J. Sheard. Il a été la demeure de nombreux dignitaires, dont Frederic Toller, vérificateur général de la monnaie du Dominion d","ans les années 1880. En 1999, après une restauration primée, il est devenu l’ambassade de la République de Croatie. Visites guidées offertes au rez-de-chaussée seulement. ",,,,,Embassy of the Republic of Croatia,Ambassade de la République de Croatie,http://ca.mvep.hr/en/,http://ca.mvep.hr/en/,1 - Embassies,,229 Chapel St.,"229, rue Chapel", ,/include/doors/Croatia_1.jpg,https://ottawa.ca/en/residents/arts-heritage-and-culture/museums-and-historic-sites/doors-open-ottawa,https://ottawa.ca/fr/residents/arts-culture-et-patrimoine/musees-et-lieux-historiques/portes-ouvertes-ottawa,no / non,,yes / oui,no / non,yes / oui,yes / oui,yes / oui,Y,no / non,yes / oui,2019-06-01T20:00:00.000Z,2019-06-01T14:00:00.000Z,,,,{0F5F4E75-FA9B-4104-8D76-D85F14C624A0},no / non,
-75.705086675703924,45.371125394498314,279,0,37,63,yes / oui,"Built in 1975, and designed by architect Konstantinos Zourdoumis. A fine example of Neo-Byzantine style with its domed structure. Highlights include hand-painted Byzantine icons on the domed ceiling and walls, the hand-carved wood Iconostasion wall of ic","ons in front of the Altar, and mosaic tiles. Photography permitted. Services at 10 a.m. on Sunday. ",,,"Construite en 1975 et conçue par l’architecte Konstantinos Zourdoumis, cette église orthodoxe grecque témoigne avec élégance du style néo-byzantin, notamment grâce à son toit en dôme. Les visiteurs pourront admirer les icônes byzantines peintes à la main"," ornant les murs et la coupole, l’iconostase, mur d’icônes de bois sculpté devant l’autel, et les mosaïques. Photos permises. Office à 10 h le dimanche. ",,,,,Dormition of the Virgin Mary Greek Orthodox Church,Église orthodoxe grecque de la Dormition de la Vierge Marie,http://www.helleniccommunity.com/,http://www.helleniccommunity.com/,0 - Religious buildings,,1315 Prince of Wales Dr.,"1315, prom. Prince of Wales", ,/include/doors/Dormition_greek_orthodox_church.jpg,https://ottawa.ca/en/residents/arts-heritage-and-culture/museums-and-historic-sites/doors-open-ottawa,https://ottawa.ca/fr/residents/arts-culture-et-patrimoine/musees-et-lieux-historiques/portes-ouvertes-ottawa,no / non,,yes / oui,yes / oui,yes / oui,no / non,yes / oui,Y,yes / oui,no / non,2019-06-01T20:00:00.000Z,2019-06-01T14:00:00.000Z,2019-06-02T18:00:00.000Z,2019-06-02T14:00:00.000Z,,{6A756403-106A-4E61-82BA-C69B23EBBC41},yes / oui,
-75.586856861623644,45.310255002227102,280,0,55,78,no / non,"Designed according to specific religious architectural traditions, the temple stands as a monument to Hindu heritage in Ottawa. It is home to many deities and shrines made of granite, marble and bronze, all sculpted in India. There is an assembly hall an",d a library. Please remove shoes upon entering. No photography of shrines or deities. ,,,"Témoin monumental de l’héritage hindou d’Ottawa, cet édifice a été conçu dans le respect de traditions architecturales religieuses bien précises. Le temple compte nombre de divinités et d’autels de granite, de marbre et de bronze, tous sculptés en Inde. ",On y trouve aussi une salle de conférence et une bibliothèque. Veuillez enlever vos chaussures à l’entrée. Il est interdit de photographier les autels et les divinités. ,,,,,Hindu Temple of Ottawa-Carleton Inc.,Hindu Temple of Ottawa-Carleton Inc,http://www.hindutemple.ca/,http://www.hindutemple.ca/,0 - Religious buildings,,4835 Bank St. ,"4835, rue Bank", ,/include/doors/HinduTemple.jpg,https://ottawa.ca/en/residents/arts-heritage-and-culture/museums-and-historic-sites/doors-open-ottawa,https://ottawa.ca/fr/residents/arts-culture-et-patrimoine/musees-et-lieux-historiques/portes-ouvertes-ottawa,no / non,,yes / oui,yes / oui,yes / oui,no / non,yes / oui,Y,yes / oui,no / non,2019-06-01T20:00:00.000Z,2019-06-01T14:00:00.000Z,,,,{4010BDCE-942B-41BF-86F7-3F50015334FC},yes / oui,
-75.698975872508967,45.429692540936031,281,0,74,104,yes / oui,"(Open Sat. June 1 - regular admission rates apply)
On Sunday, June 2nd, see Canada’s visual arts treasures.  Discover our Canadian and Indigenous Galleries and the country’s finest collection of European art. Admission rates apply to the special exhibiti","on Gauguin: Portraits. 
",,,"(Ouvert les heures régulières samedi le 1 juin – droits d’entrée exigés) Le dimanche 2 juin, admirez les trésors canadiens d’arts visuels. Découvrez nos galeries d’art canadien et autochtone, ainsi que la plus belle collection d’art européen du pays. Dro","its d’entrée exigés pour l’exposition temporaire Gauguin : Portraits. 
",,,,,National Gallery of Canada,Musée des beaux-arts du Canada,http://gallery.ca ,http://gallery.ca ,4 - Galleries and Theatres,,380 Sussex Dr.,"380, promenade Sussex", ,/include/doors/National_Gallery_DOO.jpg,https://ottawa.ca/en/residents/arts-heritage-and-culture/museums-and-historic-sites/doors-open-ottawa,https://ottawa.ca/fr/residents/arts-culture-et-patrimoine/musees-et-lieux-historiques/portes-ouvertes-ottawa,no / non,,yes / oui,yes / oui,no / non,yes / oui,yes / oui,Y,yes / oui,yes / oui,,,2019-06-02T22:00:00.000Z,2019-06-02T14:00:00.000Z,,{F76AC17E-CED5-4B2F-AE89-72617B114147},no / non,yes/oui
-75.69006039604632,45.420605733491193,282,0,53,53,yes / oui,"Designed by R.W. Strickland and Kivas Tully, the Heritage Building features high Victorian design. Formerly the teachers’ college, it became Ottawa City Hall after municipal amalgamation. Saturday only: Coffee in the Mayor’s Office from 10 a.m. to noon. ",,,,"Conçu par R.W. Strickland et Kivas Tully, cet édifice historique présente de riches éléments de l’époque victorienne. L’hôtel de ville d’Ottawa a été installé dans cet ancien collège des enseignants après la fusion des municipalités. Le samedi seulement ",": Venez prendre un thé ou un café dans le bureau du maire, de 10 h à midi. ",,,,,Heritage Building and Ottawa City Hall,Édifice historique et hôtel de ville d'Ottawa ,http://ottawa.ca,http://ottawa.ca,2 - Government buildings,,"110 Laurier Ave. West, Elgin St. Entrance","110, avenue Laurier Ouest, entrée de la rue Elgin", ,"/include/doors/Heritage Building, Ottawa City Hall.jpg",https://ottawa.ca/en/residents/arts-heritage-and-culture/museums-and-historic-sites/doors-open-ottawa,https://ottawa.ca/fr/residents/arts-culture-et-patrimoine/musees-et-lieux-historiques/portes-ouvertes-ottawa,no / non,,yes / oui,yes / oui,no / non,yes / oui,yes / oui,Y,yes / oui,yes / oui,2019-06-01T20:00:00.000Z,2019-06-01T14:00:00.000Z,2019-06-02T20:00:00.000Z,2019-06-02T14:00:00.000Z,,{398F9103-1F1D-4862-AC79-AC980D01932C},yes / oui,
